Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Updated rust_atomization timestamp.
Found 1 repos that are unatomized
Atomizing repo ID: 2982
STDOUT: SOURCE_PATH: /var/www/html/public/files/uploads/2982
CONTAINER_PATH: /work/2982
REPO_ID: 2982
#0 building with "default" instance using docker driver

#1 [rust-atomizer internal] load .dockerignore
#1 transferring context:
#1 transferring context: 2B 0.0s done
#1 ...

#2 [rust-atomizer internal] load build definition from Dockerfile
#2 transferring dockerfile: 32B 0.2s done
#2 DONE 4.4s

#1 [rust-atomizer internal] load .dockerignore
#1 DONE 5.6s

#3 [rust-atomizer internal] load metadata for docker.io/library/debian:bookworm-slim
#3 DONE 0.0s

#4 [rust-atomizer  1/11] FROM docker.io/library/debian:bookworm-slim
#4 DONE 0.0s

#5 [rust-atomizer 10/11] RUN /opt/venv/bin/pip install mysql-connector-python
#5 CACHED

#6 [rust-atomizer  4/11] RUN rustup default stable && rustup update
#6 CACHED

#7 [rust-atomizer  6/11] RUN env     TAG="v0.5.2"     OS="$(uname -s | tr '[:upper:]' '[:lower:]')"     ARCH="$(uname -m | sed -e 's/x86_64/amd64/')"     bash -c 'curl -L "https://github.com/sourcegraph/scip/releases/download/$TAG/scip-$OS-$ARCH.tar.gz"'     | tar xzf - scip     && mv scip /usr/local/bin/     && chmod +x /usr/local/bin/scip
#7 CACHED

#8 [rust-atomizer  7/11] RUN ln -sf /usr/local/bin/rust-analyzer /usr/bin/rust-analyzer &&     ln -sf /usr/local/bin/scip /usr/bin/scip
#8 CACHED

#9 [rust-atomizer  2/11] RUN apt-get update && apt-get install -y     python3     python3-pip     python3-venv     curl     git     build-essential     pkg-config     libssl-dev     && rm -rf /var/lib/apt/lists/*
#9 CACHED

#10 [rust-atomizer  9/11] RUN python3 -m venv /opt/venv
#10 CACHED

#11 [rust-atomizer  8/11] RUN cargo --version && which rust-analyzer && which scip && rust-analyzer --version && scip --version
#11 CACHED

#12 [rust-atomizer  3/11] RUN curl --proto '=https' --tlsv1.2 -sSf https://sh.rustup.rs | sh -s -- -y
#12 CACHED

#13 [rust-atomizer  5/11] RUN curl -L https://github.com/rust-analyzer/rust-analyzer/releases/latest/download/rust-analyzer-x86_64-unknown-linux-gnu.gz | gunzip -c > /usr/local/bin/rust-analyzer     && chmod +x /usr/local/bin/rust-analyzer
#13 CACHED

#14 [rust-atomizer 11/11] WORKDIR /work
#14 CACHED

#15 [rust-atomizer] exporting to image
#15 exporting layers done
#15 writing image sha256:d72d83d98a8d6c21466b088ca5ddabb2db82519d0527000a7e8c99946aa82b21
#15 writing image sha256:d72d83d98a8d6c21466b088ca5ddabb2db82519d0527000a7e8c99946aa82b21 0.0s done
#15 naming to docker.io/library/rust-atomizer-rust-atomizer done
#15 DONE 2.4s
Attaching to rust-atomizer-1
rust-atomizer-1  | Running: rust-analyzer scip /work/2982
rust-atomizer-1  | Extracted body for test_gnome_up_empty, length: 162
rust-atomizer-1  | Trying to read file: /work/2982/src/bin/powers_of_two.rs
rust-atomizer-1  | Function: calculate_powers_of_two, Range: [22, 3, 26]
rust-atomizer-1  | Extracted body for calculate_powers_of_two, length: 208
rust-atomizer-1  | Trying to read file: /work/2982/src/heap_sort.rs
rust-atomizer-1  | Function: test_heap_bottom_up_empty, Range: [214, 7, 32]
rust-atomizer-1  | Extracted body for test_heap_bottom_up_empty, length: 174
rust-atomizer-1  | Trying to read file: /work/2982/src/heap_sort.rs
rust-atomizer-1  | Function: get_flag, Range: [177, 3, 11]
rust-atomizer-1  | Extracted body for get_flag, length: 81
rust-atomizer-1  | Trying to read file: /work/2982/src/quick_sort.rs
rust-atomizer-1  | Function: test_quick_dual_len1, Range: [156, 7, 27]
rust-atomizer-1  | Extracted body for test_quick_dual_len1, length: 161
rust-atomizer-1  | Trying to read file: /work/2982/src/heap_sort.rs
rust-atomizer-1  | Function: test_heap_len1, Range: [202, 7, 21]
rust-atomizer-1  | Extracted body for test_heap_len1, length: 149
rust-atomizer-1  | Trying to read file: /work/2982/src/heap_sort.rs
rust-atomizer-1  | Function: test_weak_heap_empty, Range: [238, 7, 27]
rust-atomizer-1  | Extracted body for test_weak_heap_empty, length: 164
rust-atomizer-1  | Trying to read file: /work/2982/src/nheap_sort.rs
rust-atomizer-1  | Function: test_heap_len1, Range: [82, 7, 21]
rust-atomizer-1  | Extracted body for test_heap_len1, length: 150
rust-atomizer-1  | Trying to read file: /work/2982/src/ksort.rs
rust-atomizer-1  | Function: ksort_lr, Range: [25, 3, 11]
rust-atomizer-1  | Extracted body for ksort_lr, length: 1005
rust-atomizer-1  | Trying to read file: /work/2982/src/pancake_sort.rs
rust-atomizer-1  | Function: test_pancake_len1, Range: [69, 7, 24]
rust-atomizer-1  | Extracted body for test_pancake_len1, length: 155
rust-atomizer-1  | Trying to read file: /work/2982/src/gnome_sort.rs
rust-atomizer-1  | Function: test_gnome_up, Range: [95, 7, 20]
rust-atomizer-1  | Extracted body for test_gnome_up, length: 178
rust-atomizer-1  | Trying to read file: /work/2982/src/gnome_sort.rs
rust-atomizer-1  | Function: gnome_up_sort, Range: [49, 7, 20]
rust-atomizer-1  | Extracted body for gnome_up_sort, length: 439
rust-atomizer-1  | Trying to read file: /work/2982/src/stooge_sort.rs
rust-atomizer-1  | Function: test_slow_len1, Range: [56, 7, 21]
rust-atomizer-1  | Extracted body for test_slow_len1, length: 151
rust-atomizer-1  | Trying to read file: /work/2982/src/quick_sort.rs
rust-atomizer-1  | Function: test_quick, Range: [114, 7, 17]
rust-atomizer-1  | Extracted body for test_quick, length: 172
rust-atomizer-1  | Trying to read file: /work/2982/src/merge_sort.rs
rust-atomizer-1  | Function: test_merge_bu, Range: [128, 7, 20]
rust-atomizer-1  | Extracted body for test_merge_bu, length: 193
rust-atomizer-1  | Trying to read file: /work/2982/src/quick_sort.rs
rust-atomizer-1  | Function: dual_pivot, Range: [67, 3, 13]
rust-atomizer-1  | Extracted body for dual_pivot, length: 1013
rust-atomizer-1  | Trying to read file: /work/2982/benches/sort_benchmark.rs
rust-atomizer-1  | Function: bench, Range: [31, 3, 8]
rust-atomizer-1  | Extracted body for bench, length: 1201
rust-atomizer-1  | Trying to read file: /work/2982/src/shell_sort.rs
rust-atomizer-1  | Function: test_shell_len1, Range: [88, 7, 22]
rust-atomizer-1  | Extracted body for test_shell_len1, length: 151
rust-atomizer-1  | Trying to read file: /work/2982/src/bin/leonardo_numbers.rs
rust-atomizer-1  | Function: main, Range: [12, 3, 7]
rust-atomizer-1  | Extracted body for main, length: 397
rust-atomizer-1  | Trying to read file: /work/2982/src/bitonic_sort.rs
rust-atomizer-1  | Function: test_bitonic_empty, Range: [117, 7, 25]
rust-atomizer-1  | Extracted body for test_bitonic_empty, length: 162
rust-atomizer-1  | Trying to read file: /work/2982/src/heap_sort.rs
rust-atomizer-1  | Function: test_heap_empty, Range: [196, 7, 22]
rust-atomizer-1  | Extracted body for test_heap_empty, length: 154
rust-atomizer-1  | Trying to read file: /work/2982/src/bingo_sort.rs
rust-atomizer-1  | Function: test_bingo, Range: [59, 7, 17]
rust-atomizer-1  | Extracted body for test_bingo, length: 180
rust-atomizer-1  | Trying to read file: /work/2982/benches/sort_benchmark.rs
rust-atomizer-1  | Function: benches, Range: [75, 17, 24]
rust-atomizer-1  | Extracted body for benches, length: 59
rust-atomizer-1  | Trying to read file: /work/2982/src/smooth_sort.rs
rust-atomizer-1  | Function: test_smooth_empty, Range: [138, 7, 24]
rust-atomizer-1  | Extracted body for test_smooth_empty, length: 158
rust-atomizer-1  | Trying to read file: /work/2982/src/shell_sort.rs
rust-atomizer-1  | Function: new, Range: [28, 7, 10]
rust-atomizer-1  | Extracted body for new, length: 60
rust-atomizer-1  | Trying to read file: /work/2982/src/heap_sort.rs
rust-atomizer-1  | Function: test_weak_heap_big, Range: [232, 7, 25]
rust-atomizer-1  | Extracted body for test_weak_heap_big, length: 218
rust-atomizer-1  | Trying to read file: /work/2982/src/nheap_sort.rs
rust-atomizer-1  | Function: nheap_sort, Range: [21, 7, 17]
rust-atomizer-1  | Extracted body for nheap_sort, length: 329
rust-atomizer-1  | Trying to read file: /work/2982/src/ksort.rs
rust-atomizer-1  | Function: test_ksort_empty, Range: [83, 7, 23]
rust-atomizer-1  | Extracted body for test_ksort_empty, length: 151
rust-atomizer-1  | Trying to read file: /work/2982/src/selection_sort.rs
rust-atomizer-1  | Function: test_selection_double_empty, Range: [109, 7, 34]
rust-atomizer-1  | Extracted body for test_selection_double_empty, length: 178
rust-atomizer-1  | Trying to read file: /work/2982/src/slow_sort.rs
rust-atomizer-1  | Function: slow_sort, Range: [20, 7, 16]
rust-atomizer-1  | Extracted body for slow_sort, length: 136
rust-atomizer-1  | Trying to read file: /work/2982/src/quick_sort.rs
rust-atomizer-1  | Function: test_quick_dual_longer, Range: [144, 7, 29]
rust-atomizer-1  | Extracted body for test_quick_dual_longer, length: 205
rust-atomizer-1  | Trying to read file: /work/2982/src/smooth_sort.rs
rust-atomizer-1  | Function: smooth_sort, Range: [35, 7, 18]
rust-atomizer-1  | Extracted body for smooth_sort, length: 1030
rust-atomizer-1  | Trying to read file: /work/2982/src/bubble_sort.rs
rust-atomizer-1  | Function: test_buble_len, Range: [53, 7, 21]
rust-atomizer-1  | Extracted body for test_buble_len, length: 151
rust-atomizer-1  | Trying to read file: /work/2982/src/quick_sort.rs
rust-atomizer-1  | Function: quick_dual_sort, Range: [62, 7, 22]
rust-atomizer-1  | Extracted body for quick_dual_sort, length: 141
rust-atomizer-1  | Trying to read file: /work/2982/src/pancake_sort.rs
rust-atomizer-1  | Function: largest_pancake, Range: [33, 3, 18]
rust-atomizer-1  | Extracted body for largest_pancake, length: 287
rust-atomizer-1  | Trying to read file: /work/2982/src/oddeven_sort.rs
rust-atomizer-1  | Function: oddeven_batcher_sort_ranges, Range: [69, 3, 30]
rust-atomizer-1  | Extracted body for oddeven_batcher_sort_ranges, length: 331
rust-atomizer-1  | Trying to read file: /work/2982/src/bin/leonardo_numbers.rs
rust-atomizer-1  | Function: calculate_leonardo, Range: [34, 3, 21]
rust-atomizer-1  | Extracted body for calculate_leonardo, length: 173
rust-atomizer-1  | Trying to read file: /work/2982/src/heap_sort.rs
rust-atomizer-1  | Function: hbu_sift, Range: [125, 3, 11]
rust-atomizer-1  | Extracted body for hbu_sift, length: 361
rust-atomizer-1  | Trying to read file: /work/2982/src/shell_sort.rs
rust-atomizer-1  | Function: next, Range: [36, 7, 11]
rust-atomizer-1  | Extracted body for next, length: 168
rust-atomizer-1  | Trying to read file: /work/2982/src/quick_sort.rs
rust-atomizer-1  | Function: lomuto_partition, Range: [44, 3, 19]
rust-atomizer-1  | Extracted body for lomuto_partition, length: 369
rust-atomizer-1  | Trying to read file: /work/2982/src/oddeven_sort.rs
rust-atomizer-1  | Function: test_oddeven, Range: [101, 7, 19]
rust-atomizer-1  | Extracted body for test_oddeven, length: 176
rust-atomizer-1  | Trying to read file: /work/2982/src/cycle_sort.rs
rust-atomizer-1  | Function: test_cycle_empty, Range: [68, 7, 23]
rust-atomizer-1  | Extracted body for test_cycle_empty, length: 156
rust-atomizer-1  | Trying to read file: /work/2982/src/heap_sort.rs
rust-atomizer-1  | Function: heap_bottom_up_sort, Range: [88, 7, 26]
rust-atomizer-1  | Extracted body for heap_bottom_up_sort, length: 334
rust-atomizer-1  | Trying to read file: /work/2982/src/ksort.rs
rust-atomizer-1  | Function: test_ksort_len1, Range: [89, 7, 22]
rust-atomizer-1  | Extracted body for test_ksort_len1, length: 146
rust-atomizer-1  | Trying to read file: /work/2982/src/quick_sort.rs
rust-atomizer-1  | Function: test_quick_dual_empty, Range: [150, 7, 28]
rust-atomizer-1  | Extracted body for test_quick_dual_empty, length: 166
rust-atomizer-1  | Trying to read file: /work/2982/src/smooth_sort.rs
rust-atomizer-1  | Function: test_smooth_01, Range: [132, 7, 21]
rust-atomizer-1  | Extracted body for test_smooth_01, length: 206
rust-atomizer-1  | Trying to read file: /work/2982/src/selection_sort.rs
rust-atomizer-1  | Function: selection_sort, Range: [28, 7, 21]
rust-atomizer-1  | Extracted body for selection_sort, length: 528
rust-atomizer-1  | Trying to read file: /work/2982/src/merge_sort.rs
rust-atomizer-1  | Function: merge, Range: [80, 3, 8]
rust-atomizer-1  | Extracted body for merge, length: 599
rust-atomizer-1  | Trying to read file: /work/2982/src/oddeven_sort.rs
rust-atomizer-1  | Function: test_oddeven_batcher, Range: [119, 7, 27]
rust-atomizer-1  | Extracted body for test_oddeven_batcher, length: 192
rust-atomizer-1  | Trying to read file: /work/2982/src/merge_sort.rs
rust-atomizer-1  | Function: test_merge_bu_len1, Range: [140, 7, 25]
rust-atomizer-1  | Extracted body for test_merge_bu_len1, length: 164
rust-atomizer-1  | Trying to read file: /work/2982/src/heap_sort.rs
rust-atomizer-1  | Function: weak_heap_sort, Range: [139, 7, 21]
rust-atomizer-1  | Extracted body for weak_heap_sort, length: 785
rust-atomizer-1  | Trying to read file: /work/2982/src/oddeven_sort.rs
rust-atomizer-1  | Function: test_oddeven_batcher_len1, Range: [131, 7, 32]
rust-atomizer-1  | Extracted body for test_oddeven_batcher_len1, length: 171
rust-atomizer-1  | Trying to read file: /work/2982/src/cycle_sort.rs
rust-atomizer-1  | Function: cycle_sort, Range: [20, 7, 17]
rust-atomizer-1  | Extracted body for cycle_sort, length: 904
rust-atomizer-1  | Trying to read file: /work/2982/src/oddeven_sort.rs
rust-atomizer-1  | Function: test_oddeven_batcher_empty, Range: [125, 7, 33]
rust-atomizer-1  | Extracted body for test_oddeven_batcher_empty, length: 176
rust-atomizer-1  | Trying to read file: /work/2982/src/merge_sort.rs
rust-atomizer-1  | Function: merge_sort, Range: [29, 7, 17]
rust-atomizer-1  | Extracted body for merge_sort, length: 683
rust-atomizer-1  | Trying to read file: /work/2982/src/quick_sort.rs
rust-atomizer-1  | Function: test_quick_two_elem, Range: [138, 7, 26]
rust-atomizer-1  | Extracted body for test_quick_two_elem, length: 162
rust-atomizer-1  | Trying to read file: /work/2982/src/insertion_sort.rs
rust-atomizer-1  | Function: test_insertion, Range: [38, 7, 21]
rust-atomizer-1  | Extracted body for test_insertion, length: 180
rust-atomizer-1  | Trying to read file: /work/2982/src/heap_sort.rs
rust-atomizer-1  | Function: test_heap_bottom_up_len1, Range: [220, 7, 31]
rust-atomizer-1  | Extracted body for test_heap_bottom_up_len1, length: 169
rust-atomizer-1  | Trying to read file: /work/2982/src/stooge_sort.rs
rust-atomizer-1  | Function: test_stooge, Range: [44, 7, 18]
rust-atomizer-1  | Extracted body for test_stooge, length: 174
rust-atomizer-1  | Trying to read file: /work/2982/src/gnome_sort.rs
rust-atomizer-1  | Function: test_gnome_up_len1, Range: [107, 7, 25]
rust-atomizer-1  | Extracted body for test_gnome_up_len1, length: 157
rust-atomizer-1  | Trying to read file: /work/2982/src/bitonic_sort.rs
rust-atomizer-1  | Function: bitonic_sort, Range: [35, 7, 19]
rust-atomizer-1  | Extracted body for bitonic_sort, length: 764
rust-atomizer-1  | Trying to read file: /work/2982/src/bingo_sort.rs
rust-atomizer-1  | Function: test_bingo_len1, Range: [71, 7, 22]
rust-atomizer-1  | Extracted body for test_bingo_len1, length: 151
rust-atomizer-1  | Trying to read file: /work/2982/src/stooge_sort.rs
rust-atomizer-1  | Function: stooge_sort, Range: [20, 7, 18]
rust-atomizer-1  | Extracted body for stooge_sort, length: 140
rust-atomizer-1  | Trying to read file: /work/2982/src/shell_sort.rs
rust-atomizer-1  | Function: test_shell, Range: [76, 7, 17]
rust-atomizer-1  | Extracted body for test_shell, length: 194
rust-atomizer-1  | Trying to read file: /work/2982/src/oddeven_sort.rs
rust-atomizer-1  | Function: test_oddeven_len1, Range: [113, 7, 24]
rust-atomizer-1  | Extracted body for test_oddeven_len1, length: 155
rust-atomizer-1  | Trying to read file: /work/2982/src/ksort.rs
rust-atomizer-1  | Function: test_ksort_01, Range: [77, 7, 20]
rust-atomizer-1  | Extracted body for test_ksort_01, length: 210
rust-atomizer-1  | Trying to read file: /work/2982/src/quick_sort.rs
rust-atomizer-1  | Function: test_quick_len1, Range: [126, 7, 22]
rust-atomizer-1  | Extracted body for test_quick_len1, length: 151
rust-atomizer-1  | Trying to read file: /work/2982/src/bubble_sort.rs
rust-atomizer-1  | Function: test_bubble_empty, Range: [47, 7, 24]
rust-atomizer-1  | Extracted body for test_bubble_empty, length: 158
rust-atomizer-1  | Trying to read file: /work/2982/src/cocktail_sort.rs
rust-atomizer-1  | Function: test_cocktail, Range: [56, 7, 20]
rust-atomizer-1  | Extracted body for test_cocktail, length: 210
rust-atomizer-1  | Trying to read file: /work/2982/src/smooth_sort.rs
rust-atomizer-1  | Function: test_smooth, Range: [126, 7, 18]
rust-atomizer-1  | Extracted body for test_smooth, length: 171
rust-atomizer-1  | Trying to read file: /work/2982/src/nheap_sort.rs
rust-atomizer-1  | Function: test_heap_01, Range: [70, 7, 19]
rust-atomizer-1  | Extracted body for test_heap_01, length: 190
rust-atomizer-1  | Trying to read file: /work/2982/src/oddeven_sort.rs
rust-atomizer-1  | Function: test_oddeven_empty, Range: [107, 7, 25]
rust-atomizer-1  | Extracted body for test_oddeven_empty, length: 160
rust-atomizer-1  | Trying to read file: /work/2982/src/merge_sort.rs
rust-atomizer-1  | Function: merge_bottom_up_sort, Range: [59, 7, 27]
rust-atomizer-1  | Extracted body for merge_bottom_up_sort, length: 521
rust-atomizer-1  | Trying to read file: /work/2982/src/heap_sort.rs
rust-atomizer-1  | Function: weak_heap_merge, Range: [169, 3, 18]
rust-atomizer-1  | Extracted body for weak_heap_merge, length: 179
rust-atomizer-1  | Trying to read file: /work/2982/src/heap_sort.rs
rust-atomizer-1  | Function: tog_flag, Range: [181, 3, 11]
rust-atomizer-1  | Extracted body for tog_flag, length: 75
rust-atomizer-1  | Trying to read file: /work/2982/src/comb_sort.rs
rust-atomizer-1  | Function: test_comb_empty, Range: [61, 7, 22]
rust-atomizer-1  | Extracted body for test_comb_empty, length: 154
rust-atomizer-1  | Trying to read file: /work/2982/src/cocktail_sort.rs
rust-atomizer-1  | Function: test_cocktail_len1, Range: [68, 7, 25]
rust-atomizer-1  | Extracted body for test_cocktail_len1, length: 157
rust-atomizer-1  | Trying to read file: /work/2982/benches/sort_benchmark.rs
rust-atomizer-1  | Function: get_random_vec, Range: [7, 3, 17]
rust-atomizer-1  | Extracted body for get_random_vec, length: 181
rust-atomizer-1  | Trying to read file: /work/2982/src/heap_sort.rs
rust-atomizer-1  | Function: hbu_leaf_search, Range: [101, 3, 18]
rust-atomizer-1  | Extracted body for hbu_leaf_search, length: 516
rust-atomizer-1  | Trying to read file: /work/2982/src/nheap_sort.rs
rust-atomizer-1  | Function: test_heap, Range: [64, 7, 16]
rust-atomizer-1  | Extracted body for test_heap, length: 171
rust-atomizer-1  | Trying to read file: /work/2982/src/bitonic_sort.rs
rust-atomizer-1  | Function: sub_sort, Range: [71, 3, 11]
rust-atomizer-1  | Extracted body for sub_sort, length: 268
rust-atomizer-1  | Trying to read file: /work/2982/src/shell_sort.rs
rust-atomizer-1  | Function: shell_sort, Range: [47, 7, 17]
rust-atomizer-1  | Extracted body for shell_sort, length: 390
rust-atomizer-1  | Trying to read file: /work/2982/src/bitonic_sort.rs
rust-atomizer-1  | Function: test_bitonic_usize_pow_2, Range: [99, 7, 31]
rust-atomizer-1  | Extracted body for test_bitonic_usize_pow_2, length: 196
rust-atomizer-1  | Trying to read file: /work/2982/src/cocktail_sort.rs
rust-atomizer-1  | Function: cocktail_sort, Range: [24, 7, 20]
rust-atomizer-1  | Extracted body for cocktail_sort, length: 673
